effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,outcome
fixed,countryIndonesia,0.36025168192063617,0.20784134534298188,1.7333013377398285,10.570136787301761,0.11206855388443063,-0.09948407150406319,0.8199874353453356,Depression
fixed,countryVietnam,0.4065505941585173,0.20370533873858418,1.9957778066889311,14.2046240388383,0.06550130796294484,-0.029764179899178345,0.8428653682162129,Depression
fixed,worry_health_fear,-0.047535260121287885,0.01702145406493202,-2.792667414896186,868.1274605255412,0.00534248142656172,-0.0809432742048794,-0.014127246037696363,Depression
fixed,worry_economic,0.04205215233365542,0.01292046046320529,3.254694556235899,869.1497250587256,0.0011790085766206144,0.01669320152426784,0.067411103143043,Depression
fixed,worry_basic_needs,0.06496795613252714,0.026492164206264705,2.4523461211660433,856.9768603706701,0.014391248718386585,0.01297083125832818,0.11696508100672609,Depression
fixed,worry_social,0.041918267270929906,0.01537154575210372,2.727004033748073,867.8171064327655,0.006520187653804676,0.011748513769719433,0.07208802077214038,Depression
fixed,worry_safety_stigma,0.14908724615797336,0.03586702989382465,4.156665511454636,867.857789349982,3.549424090614442e-5,0.07869098300239273,0.21948350931355398,Depression
fixed,countryIndonesia,0.29265986539072075,0.13373589193352406,2.1883419713250416,9.67202923950801,0.05437360151555184,-0.006697594530811535,0.592017325312253,Anxiety
fixed,countryVietnam,-0.07162995250550767,0.1443337456898626,-0.49628000827625346,19.50825824370346,0.6252423307893249,-0.3731921315479628,0.22993222653694745,Anxiety
fixed,worry_health_fear,0.03493727457814554,0.01706646261845925,2.0471304077013035,764.8966559803044,0.04098645875867407,0.0014346096823863452,0.06843993947390474,Anxiety
fixed,worry_economic,0.024308441753607544,0.013080721254110222,1.8583410869618027,869.807618373876,0.06345824194963381,-0.0013650253735078659,0.04998190888072296,Anxiety
fixed,worry_basic_needs,0.036889119958341585,0.02648957872943368,1.3925899062091365,762.3619521143278,0.16414984395484436,-0.015112057761658935,0.08889029767834211,Anxiety
fixed,worry_social,0.02424384065756181,0.015417115130351548,1.5725277039563101,777.1779871067739,0.1162352114147979,-0.006020281334055331,0.054507962649178954,Anxiety
fixed,worry_safety_stigma,0.10309066304132058,0.035976415417098215,2.8655068006671263,780.4300248742591,0.004275342606416517,0.032468660197295884,0.17371266588534529,Anxiety
fixed,countryIndonesia,0.2821830212416261,0.2389543673766781,1.1809075696733513,10.672876749680045,0.26328682038044793,-0.24572542472792358,0.8100914672111758,Stress
fixed,countryVietnam,0.2547181200466603,0.2294386921986334,1.1101794453489195,13.143129363452799,0.2868206553952646,-0.24040588535271895,0.7498421254460395,Stress
fixed,worry_health_fear,-0.0015776524324074002,0.016469921256613285,-0.09578991956466787,870.9802614125433,0.9237094580580589,-0.03390302505558679,0.030747720190771988,Stress
fixed,worry_economic,0.04896114621884881,0.01248161945880119,3.9226597462338697,867.6054614807383,9.44950173697624e-5,0.02446344659036685,0.07345884584733077,Stress
fixed,worry_basic_needs,0.05264293936867972,0.025666543959598873,2.0510334173367393,867.1841617830997,0.040563696266000565,0.002267127701963287,0.10301875103539615,Stress
fixed,worry_social,0.045647436181897635,0.01487459055611243,3.068819676729837,870.9269543987183,0.002215630741208494,0.01645320290023353,0.07484166946356174,Stress
fixed,worry_safety_stigma,0.030284276599782004,0.03470720892366883,0.8725644481060366,870.9329611736047,0.3831410180489091,-0.03783526862908752,0.09840382182865152,Stress
