effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model,outcome
fixed,worry_safety_stigma,0.14908724615370833,0.03586702989393185,4.1566655113233,867.8577893107,3.5494240926289955e-5,0.07869098299791286,0.2194835093095038,Individual only,Depression
fixed,stigma_within,0.14678024016262564,0.03612732653927445,4.062859176780188,865.8555243618924,5.287815354948325e-5,0.07587286347282772,0.21768761685242355,Decomposed,Depression
fixed,stigma_site,0.20367404727476165,0.11887258642487636,1.7133811368988516,10.186409551394764,0.11685975490396143,-0.06053504822824293,0.4678831427777662,Decomposed,Depression
fixed,worry_safety_stigma,0.10309066307577786,0.03597641542525147,2.8655068009754965,780.4300263832,0.004275342602078764,0.03246866021596033,0.17371266593559537,Individual only,Anxiety
fixed,stigma_within,0.10330941072603583,0.036656128563772684,2.8183393820845746,869.7812751543995,0.004936797471875407,0.03136460484541788,0.1752542166066538,Decomposed,Anxiety
fixed,stigma_site,0.1037882194040656,0.08002860682323892,1.2968889941231276,11.087182578562448,0.2210090846576308,-0.07218471714974184,0.27976115595787304,Decomposed,Anxiety
fixed,worry_safety_stigma,0.03028427659861726,0.034707208923686665,0.8725644480720292,870.9329611439408,0.3831410180674505,-0.0378352686302905,0.09840382182752502,Individual only,Stress
fixed,stigma_within,0.028293357087340733,0.03488185346210163,0.8111196590536923,864.6926358174389,0.4175201572091273,-0.040169649067233235,0.09675636324191471,Decomposed,Stress
fixed,stigma_site,0.10571950122678679,0.13558099913229973,0.7797516016505075,10.11649242541699,0.45339316505711014,-0.19590293009989485,0.40734193255346846,Decomposed,Stress
