sensitivity,outcome,term,estimate,conf.low,conf.high,p.value
Excluding overlapping items,Anxiety,livelihood_disruption,0.0183,-0.0217,0.0583,0.3189
Excluding overlapping items,Stress,comorbidity,0.2885,0.1186,0.4584,0.0039
Excluding overlapping items,Stress,perceived_risk,0.021,0.0081,0.0338,0.0064
Excluding overlapping items,Stress,worry_health_fear,0.0191,-0.0689,0.1072,0.6308
Excluding overlapping items,Stress,worry_economic,0.0476,-0.0193,0.1146,0.1382
Excluding overlapping items,Stress,worry_basic_needs,0.0643,-0.0089,0.1376,0.078
Excluding overlapping items,Stress,worry_social_excl,0.0251,-0.0449,0.0952,0.4402
Excluding overlapping items,Stress,worry_stigma_excl,0.0641,-0.0947,0.2229,0.3832
Excluding overlapping items,Stress,livelihood_disruption,0.0063,-0.022,0.0347,0.6176
Complete case,Depression,comorbidity,0.2611,0.1127,0.4096,0.0031
Complete case,Depression,perceived_risk,0.0225,0.0115,0.0335,0.0019
Complete case,Depression,worry_health_fear,-0.0509,-0.1391,0.0372,0.2201
Complete case,Depression,worry_economic,0.035,-0.0328,0.1029,0.2658
Complete case,Depression,worry_basic_needs,0.0752,0.0128,0.1377,0.0233
Complete case,Depression,worry_social,0.0404,-0.0205,0.1013,0.169
Complete case,Depression,worry_safety_stigma,0.168,0.0599,0.2761,0.0078
Complete case,Depression,livelihood_disruption,0.0205,-0.0148,0.0559,0.2143
Complete case,Anxiety,comorbidity,0.2567,0.17,0.3435,1e-4
Complete case,Anxiety,perceived_risk,0.0229,0.0083,0.0376,0.0077
Complete case,Anxiety,worry_health_fear,0.0369,-0.0492,0.1229,0.3536
Complete case,Anxiety,worry_economic,0.0243,-0.0295,0.0782,0.3255
Complete case,Anxiety,worry_basic_needs,0.0354,-0.0347,0.1054,0.2826
Complete case,Anxiety,worry_social,0.0294,-0.0164,0.0752,0.1816
Complete case,Anxiety,worry_safety_stigma,0.1008,-0.0548,0.2564,0.1701
Complete case,Anxiety,livelihood_disruption,0.0166,-0.0246,0.0577,0.3759
Complete case,Stress,comorbidity,0.2877,0.1172,0.4582,0.004
Complete case,Stress,perceived_risk,0.0208,0.0089,0.0327,0.0044
Complete case,Stress,worry_health_fear,0.0139,-0.0742,0.1021,0.726
Complete case,Stress,worry_economic,0.0412,-0.0256,0.108,0.1909
Complete case,Stress,worry_basic_needs,0.0595,-0.0123,0.1314,0.0937
Complete case,Stress,worry_social,0.0485,-0.0119,0.1089,0.1037
Complete case,Stress,worry_safety_stigma,0.0372,-0.0595,0.1339,0.3947
Complete case,Stress,livelihood_disruption,0.0039,-0.0242,0.032,0.7521
