term,outcome,estimate,std.error,df,p.value,fmi,p_adj,p_adj_family15,conf.low,conf.high,statistic,sig
employmentNot working,Stress,-0.06,0.0681,1595.9,0.3786,0.136,NA,NA,-0.19357485205322272,0.07357485205322273,-0.881057268722467,
comorbidity,Stress,0.2424,0.0356,220791.4,0,0.011,NA,NA,0.17262489964765482,0.3121751003523452,6.808988764044944,***
gen_health,Stress,-0.1259,0.0332,1067277.9,1e-4,0.005,NA,NA,-0.19097087808146745,-0.06082912191853257,-3.7921686746987957,***
perceived_risk,Stress,0.014,0.0039,96337.3,3e-4,0.017,NA,NA,0.0063560444230157925,0.02164395557698421,3.58974358974359,***
risk_self,Stress,0.0838,0.0382,124761.8,0.0281,0.015,NA,NA,0.008928649433422128,0.15867135056657788,2.193717277486911,*
health_trust,Stress,-0.0359,0.0145,26123.3,0.0136,0.033,NA,NA,-0.06432079458877363,-0.0074792054112263785,-2.475862068965517,*
worry_health_fear,Stress,0.03,0.0124,2913.8,0.0157,0.1,0.023875,0.02354999999999999,0.0056863470040699575,0.05431365299593004,2.4193548387096775,*
worry_economic,Stress,0.033,0.0103,1964.8,0.0014,0.122,0.0035,0.003,0.012799927353386514,0.053200072646613486,3.203883495145631,**
worry_basic_needs,Stress,0.0469,0.02,4577.4,0.0191,0.08,0.023875,0.02604545454545454,0.007690352467330547,0.08610964753266945,2.3449999999999998,*
worry_social,Stress,0.068,0.0117,8478.4,0,0.059,0,0,0.045065147240855585,0.09093485275914442,5.811965811965813,***
worry_safety_stigma,Stress,0.0213,0.0278,3568.6,0.4441,0.091,0.4441,0.4441,-0.033205485328955335,0.07580548532895534,0.7661870503597122,
livelihood_disruption,Stress,0.0041,0.0091,100561.3,0.6524,0.017,NA,NA,-0.013735886933583932,0.02193588693358393,0.45054945054945056,
