term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model
perceived_risk,0.030140505236129718,0.00563577627907472,5.348066307748855,8.437846346396666e-4,0.01699833021529763,0.0432826802569618,7.519285730214414,Depression,M2
risk_self,0.09999651914433648,0.09155469932150871,1.0922052050346753,0.29965435212420377,-0.1032234182039591,0.30321645649263207,10.290012361675974,Depression,M2
health_trust,-0.03382738899829517,0.030833399072552545,-1.0971021689401683,0.3003758770462333,-0.10330678478146257,0.03565200678487224,9.235875496194,Depression,M2
(Intercept),0.17841539597471046,0.4239913991096962,0.42079956421132575,0.6851619236902214,-0.8022090152995306,1.1590398072489516,7.866374897452235,Depression,M3
countryNepal,-0.30265580059483055,0.1385774131247046,-2.1840197025648997,0.07007289393886565,-0.6388591203916567,0.03354751920199567,6.219782519203031,Depression,M3
countryVietnam,0.05997884498816801,0.1695057886530093,0.35384540825888294,0.7361560915547796,-0.3599859457353555,0.4799436357116915,5.707941940228673,Depression,M3
age,-0.00923003775867716,0.0035149840970788377,-2.625911669514486,0.02483353255168362,-0.017034491181549923,-0.0014255843358043944,10.265993173881926,Depression,M3
female,0.06067820586810854,0.07905435822389678,0.7675504201331503,0.4611922414253652,-0.11643386943828662,0.2377902811745037,9.612219130749441,Depression,M3
ethnicity_minority,0.1040164177358262,0.0816547491092869,1.2738563141821722,0.2454534801629356,-0.09117471585857195,0.29920755133022436,6.645403636306247,Depression,M3
education,0.01878349517719676,0.04154397989362744,0.4521351884266154,0.6608409368669037,-0.0738090161593746,0.11137600651376814,9.978726805089263,Depression,M3
employmentPart-time/casual,-0.04384653271884942,0.07034106921372679,-0.6233418571677459,0.5476663206028103,-0.2015978585752201,0.11390479313752128,9.543716816221629,Depression,M3
employmentStudent,0.42670968141316257,0.19111050122360662,2.232790342137693,0.05530259956177207,-0.012227029842279524,0.8656463926686047,8.18907799452705,Depression,M3
