effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,country,outcome
fixed,(Intercept),0.08408690959892805,0.4756582134607833,0.17678010642795466,57.715968108704914,0.8603000054912876,-0.8681462262254108,1.0363200454232668,Indonesia,Depression
fixed,age,-0.012523617096688349,0.0044315857878176705,-2.82598999462348,238.29481830061988,0.0051133957595163185,-0.021253704046507303,-0.003793530146869395,Indonesia,Depression
fixed,female,-0.09035553888047332,0.10082780577995923,-0.8961371139788564,237.9125180114708,0.37108536089182276,-0.288984827193144,0.10827374943219736,Indonesia,Depression
fixed,ethnicity_minority,0.17213193184909822,0.12379904775992764,1.390414021462412,227.07980507436477,0.16576440964828482,-0.07180985798102474,0.4160737216792212,Indonesia,Depression
fixed,education,0.007154389846318162,0.056688905997732277,0.12620440843582972,238.79116020813564,0.8996763181422177,-0.10451981699362828,0.11882859668626461,Indonesia,Depression
fixed,employmentPart-time/casual,0.1438875569386044,0.14588135633217433,0.9863327333684091,238.64762405024092,0.3249687975811477,-0.14349203495096735,0.43126714882817613,Indonesia,Depression
fixed,employmentStudent,0.002968890634049043,0.25079117254485866,0.011838098621744756,236.89882549711658,0.990564747696326,-0.49109682380791597,0.49703460507601405,Indonesia,Depression
fixed,employmentNot working,0.14714286379353997,0.15104004987180017,0.9741976642515143,236.80976236055994,0.3309524722368884,-0.15041088777663497,0.4446966153637149,Indonesia,Depression
fixed,comorbidity,0.17180086485636012,0.09161351358091092,1.8752786367551506,236.79301090131486,0.0619850829893493,-0.008680766267024992,0.35228249597974526,Indonesia,Depression
fixed,gen_health,-0.12508977820346512,0.0685061440176283,-1.8259643714770526,236.93199390557595,0.06911422352547658,-0.26004872558635106,0.009869169179420823,Indonesia,Depression
fixed,perceived_risk,0.02644870611354791,0.007943320369538756,3.329678885290095,236.86760352382774,0.0010082461760483965,0.01080012937281305,0.04209728285428277,Indonesia,Depression
fixed,risk_self,-0.009064786483511156,0.08958741358080702,-0.10118370562550959,238.7961742444633,0.9194895364397521,-0.1855473293797054,0.16741775641268306,Indonesia,Depression
fixed,health_trust,0.027090173465205765,0.03258741455766303,0.8313078479199396,236.74391625318174,0.40663739111887554,-0.03710817204817319,0.09128851897858473,Indonesia,Depression
fixed,worry_health_fear,-0.0023851817251632325,0.04415300948690856,-0.05402081880444509,238.17391807818777,0.9569638619166915,-0.08936547029250684,0.08459510684218037,Indonesia,Depression
fixed,worry_economic,-0.0036155608411940505,0.027352312779318978,-0.1321848309634631,237.10664992802194,0.8949502010371094,-0.05750014936537278,0.050269027682984684,Indonesia,Depression
fixed,worry_basic_needs,0.06441348008441915,0.07322709877768116,0.8796399305669569,237.40548017726712,0.37994391500972813,-0.07984439819731852,0.2086713583661568,Indonesia,Depression
fixed,worry_social,0.047433081844980456,0.02757197912008161,1.7203364922916733,236.79393270380055,0.08667770323556924,-0.0068846216343150385,0.10175078532427595,Indonesia,Depression
