effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model,outcome
fixed,(Intercept),-0.06961786012756489,0.21134102121132356,-0.3294100678067264,8.867692167122867,0.7494929107928969,-0.5487940233549425,0.4095583030998128,M0,Depression
fixed,countryNepal,0.13496011594785207,0.2621600841298516,0.5148003991370571,9.299846313712875,0.6187040608304304,-0.45518522257410643,0.7251054544698106,M0,Depression
fixed,countryVietnam,0.15020294600193382,0.28216831720512453,0.5323168365948845,9.195215226609395,0.6071277533426812,-0.4860463853946825,0.7864522773985502,M0,Depression
fixed,(Intercept),1.02694250331012,0.3397736715843951,3.0224310745485226,64.06064112139019,0.0036024310453753356,0.348178938437672,1.7057060681825682,M1,Depression
fixed,countryNepal,-0.1257540619019294,0.25727904885391356,-0.48878469685782383,9.80911273861075,0.6357373628271994,-0.7005232387428217,0.44901511493896296,M1,Depression
fixed,countryVietnam,-0.03250210450287254,0.2797208322975262,-0.11619479405917663,10.147460547406117,0.9097655864771661,-0.6545334712718697,0.5895292622661247,M1,Depression
fixed,age,-0.014324026994659324,0.002813717361509667,-5.090783882775608,1044.9976116008786,4.227221972354379e-7,-0.019845206444125466,-0.008802847545193181,M1,Depression
fixed,female,0.10969528655245478,0.06488644380602349,1.6905732556462223,1044.8453843782804,0.0912165950353061,-0.017627295848109098,0.23701786895301866,M1,Depression
fixed,ethnicity_minority,0.18372716513304255,0.07747385818809414,2.371473028837448,1023.0371817288038,0.01790169555061656,0.03170133385669377,0.3357529964093913,M1,Depression
fixed,education,-0.019070668804989987,0.023986908001461076,-0.7950448971509111,1039.4697536592419,0.4267688791614984,-0.06613895007024836,0.027997612460268387,M1,Depression
fixed,employmentPart-time/casual,0.09708847102275293,0.07422350659168903,1.3080555673130128,1044.817801231096,0.19114216735012643,-0.04855564613159728,0.24273258817710314,M1,Depression
fixed,employmentStudent,0.33004672211994035,0.15622578761115946,2.1126263926504576,1041.6478093760632,0.034870213223124974,0.023493606216007823,0.6365998380238729,M1,Depression
fixed,employmentNot working,-0.03942383899749097,0.08316450088222352,-0.47404648112206543,1043.3934670524106,0.6355659429707334,-0.20261256507261913,0.12376488707763719,M1,Depression
fixed,comorbidity,0.33437740506208863,0.04633376544813055,7.216711221893145,1041.7614442351135,1.0245028638573729e-12,0.24345926290024567,0.4252955472239316,M1,Depression
fixed,gen_health,-0.16354819177542979,0.04249954825231906,-3.848233651907241,1040.8502730694759,1.2621445952782246e-4,-0.24694275008255118,-0.0801536334683084,M1,Depression
fixed,(Intercept),0.7192834997707831,0.3491797034693151,2.059923565500111,75.51308815467186,0.04285201234266084,0.023759321585538506,1.4148076779560277,M2,Depression
fixed,countryNepal,-0.17856344503622618,0.25696201161281174,-0.6949021138007128,10.415372797855335,0.5023243477345452,-0.7480304657707637,0.3909035756983114,M2,Depression
fixed,countryVietnam,0.05005995539131682,0.2770958378130406,0.18065935521230309,10.398470033784438,0.8601075979282202,-0.5641560646799375,0.6642759754625711,M2,Depression
fixed,age,-0.01555456582157122,0.0028419978190129453,-5.473109696816544,999.9992251823039,5.590730136589272e-8,-0.021131529214680006,-0.009977602428462436,M2,Depression
fixed,female,0.0780362773609135,0.06618593604914344,1.1790462146364615,999.9888860688857,0.23866022479753285,-0.05184297329858491,0.2079155280204119,M2,Depression
fixed,ethnicity_minority,0.19481429959970717,0.0777938094501379,2.5042391030429454,981.8890158167063,0.012432724084705407,0.04215305488744053,0.3474755443119738,M2,Depression
fixed,education,-0.031992454954482885,0.024277113303462355,-1.317803091108043,995.4160255331609,0.18787277037938557,-0.07963264900846162,0.015647739099495843,M2,Depression
fixed,employmentPart-time/casual,0.1493660439086372,0.07525908899259488,1.9846910972219458,999.8071566017227,0.047451837527897764,0.001682157873082124,0.29704992994419227,M2,Depression
fixed,employmentStudent,0.3042736980743057,0.157348815465405,1.9337527084288975,995.8708468510375,0.05342664213035822,-0.004499583227192683,0.6130469793758041,M2,Depression
fixed,employmentNot working,0.028129216797969578,0.08442609181628018,0.33318155789067716,998.367934230431,0.7390671940275958,-0.13754373080241794,0.19380216439835712,M2,Depression
fixed,comorbidity,0.31673807837215096,0.04643895931722791,6.820524900407222,996.7820426377233,1.570697841091079e-11,0.22560873712887541,0.4078674196154265,M2,Depression
fixed,gen_health,-0.1487153283721631,0.043073579758882014,-3.4525880877476216,996.0381118920401,5.785807464576412e-4,-0.23324070469930747,-0.06418995204501877,M2,Depression
fixed,perceived_risk,0.0309247629784511,0.00495165622928396,6.2453372258685675,996.9015431881309,6.251132267805843e-10,0.021207897848100316,0.04064162810880188,M2,Depression
fixed,risk_self,0.11872983765571452,0.05060073452155278,2.3464054183866234,999.0350181882964,0.01915009176275955,0.019433922562119385,0.21802575274930963,M2,Depression
fixed,health_trust,-0.02117342912099578,0.01891550701994545,-1.1193688384175726,997.2274387736866,0.26325235693712934,-0.05829219283581434,0.015945334593822785,M2,Depression
fixed,(Intercept),0.43187583200051616,0.32779811414560955,1.3175055418673787,127.65451117892488,0.19002898606200017,-0.21674549259700182,1.0804971565980341,M3,Depression
fixed,countryNepal,-0.36025168194558604,0.20784134543609328,-1.733301337083365,10.570136736118082,0.11206855414408465,-0.8199874358600447,0.0994840719688726,M3,Depression
fixed,countryVietnam,0.046298912223340205,0.22210537360530358,0.2084547144078402,10.182014711436524,0.8389848872307506,-0.44738617992910445,0.5399840043757849,M3,Depression
fixed,age,-0.012145784843631349,0.002805798522721113,-4.328815752548103,870.3531582470938,1.6732595131008126e-05,-0.01765270696397034,-0.006638862723292356,M3,Depression
